                   Degree              dlvdt[mm/s]            dlvdtt[mm/s2]
                 103.1400             7.136738E+02            -3.960884E+04
                 103.3200             7.129451E+02            -3.995947E+04
                 103.5000             7.122101E+02            -4.030944E+04
                 103.6800             7.114686E+02            -4.065877E+04
                 103.8600             7.107207E+02            -4.100744E+04
                 104.0400             7.099665E+02            -4.135547E+04
                 104.2200             7.092059E+02            -4.170283E+04
                 104.4000             7.084389E+02            -4.204955E+04
                 104.5800             7.076656E+02            -4.239560E+04
                 104.7600             7.068860E+02            -4.274099E+04
                 104.9400             7.061000E+02            -4.308573E+04
                 105.1200             7.053077E+02            -4.342979E+04
                 105.3000             7.045092E+02            -4.377320E+04
                 105.4800             7.037043E+02            -4.411594E+04
                 105.6600             7.028932E+02            -4.445800E+04
                 105.8400             7.020758E+02            -4.479940E+04
                 106.0200             7.012522E+02            -4.514013E+04
                 106.2000             7.004224E+02            -4.548018E+04
                 106.3800             6.995863E+02            -4.581956E+04
