                   Degree              Press.Ratio   Mass_leak_rad_ro[kg/s]      Mass_leak_vef[kg/s]       Mass_leak_vs[kg/s]      Mass_leak_ref[kg/s]    Mass_leak_total[kg/s]
                  37.2600             1.004881E+00             4.469167E-08             9.655821E-06             0.000000E+00            -2.358390E-06             7.342123E-06
                  37.4400             1.004784E+00             4.467282E-08             9.670839E-06             0.000000E+00            -2.375768E-06             7.339744E-06
                  37.6200             1.004689E+00             4.465448E-08             9.686006E-06             0.000000E+00            -2.393022E-06             7.337638E-06
                  37.8000             1.004596E+00             4.463661E-08             9.701319E-06             0.000000E+00            -2.410156E-06             7.335800E-06
                  37.9800             1.004506E+00             4.461921E-08             9.716777E-06             0.000000E+00            -2.427171E-06             7.334225E-06
                  38.1600             1.004418E+00             4.460227E-08             9.732376E-06             0.000000E+00            -2.444069E-06             7.332909E-06
                  38.3400             1.004333E+00             4.458577E-08             9.748115E-06             0.000000E+00            -2.460855E-06             7.331846E-06
                  38.5200             1.004249E+00             4.456969E-08             9.763991E-06             0.000000E+00            -2.477529E-06             7.331031E-06
                  38.7000             1.004168E+00             4.413506E-08             9.780002E-06             0.000000E+00            -2.494095E-06             7.330042E-06
                  38.8800             1.004089E+00             4.411955E-08             9.796146E-06             0.000000E+00            -2.510555E-06             7.329711E-06
                  39.0600             1.004012E+00             4.410444E-08             9.812422E-06             0.000000E+00            -2.526912E-06             7.329614E-06
                  39.2400             1.003937E+00             4.408971E-08             9.828825E-06             0.000000E+00            -2.543167E-06             7.329748E-06
                  39.4200             1.003864E+00             4.407534E-08             9.845356E-06             0.000000E+00            -2.559323E-06             7.330108E-06
                  39.6000             1.003792E+00             4.406135E-08             9.862011E-06             0.000000E+00            -2.575383E-06             7.330689E-06
                  39.7800             1.003723E+00             4.404770E-08             9.878788E-06             0.000000E+00            -2.591349E-06             7.331487E-06
                  39.9600             1.003655E+00             4.403441E-08             9.895687E-06             0.000000E+00            -2.607222E-06             7.332499E-06
                  40.1400             1.003589E+00             4.402144E-08             9.916036E-06             0.000000E+00            -2.623006E-06             7.337052E-06
                  40.3200             1.003524E+00             4.400878E-08             9.933177E-06             0.000000E+00            -2.638702E-06             7.338483E-06
                  40.5000             1.003461E+00             4.399644E-08             9.950432E-06             0.000000E+00            -2.654313E-06             7.340115E-06
                  40.6800             1.003400E+00             4.398440E-08             9.967800E-06             0.000000E+00            -2.669842E-06             7.341943E-06
                  40.8600             1.003339E+00             4.397266E-08             9.985279E-06             0.000000E+00            -2.685289E-06             7.343963E-06
                  41.0400             1.003281E+00             4.396119E-08             1.000624E-05             0.000000E+00            -2.700657E-06             7.349541E-06
                  41.2200             1.003224E+00             4.394998E-08             1.002394E-05             0.000000E+00            -2.715949E-06             7.351940E-06
                  41.4000             1.003168E+00             4.393905E-08             1.004175E-05             0.000000E+00            -2.731167E-06             7.354520E-06
                  41.5800             1.003113E+00             4.392837E-08             1.006305E-05             0.000000E+00            -2.746312E-06             7.360667E-06
                  41.7600             1.003060E+00             4.391793E-08             1.008107E-05             0.000000E+00            -2.761388E-06             7.363602E-06
                  41.9400             1.003007E+00             4.390773E-08             1.009919E-05             0.000000E+00            -2.776396E-06             7.366706E-06
                  42.1200             1.002956E+00             4.389775E-08             1.012083E-05             0.000000E+00            -2.791337E-06             7.373388E-06
                  42.3000             1.002906E+00             4.388800E-08             1.013915E-05             0.000000E+00            -2.806216E-06             7.376823E-06
                  42.4800             1.002857E+00             4.387845E-08             1.015757E-05             0.000000E+00            -2.821033E-06             7.380414E-06
                  42.6600             1.002809E+00             4.386911E-08             1.017952E-05             0.000000E+00            -2.835790E-06             7.387595E-06
